order_item_id,order_id,product_id,quantity,unit_price
1,10001,123,1,11242.04
2,10002,105,1,46718.06
3,10002,210,2,918.18
4,10003,192,2,2384.93
5,10004,103,1,78283.24
6,10004,147,1,37236.31
7,10005,109,1,3436.63
8,10006,177,1,1390.57
9,10006,154,1,1723.61
10,10007,167,1,3801.49
11,10008,204,2,895.68
12,10008,154,1,1551.25
13,10009,115,2,3314.34
14,10009,123,1,10617.49
15,10009,131,1,17831.08
16,10010,134,1,13963.51
17,10010,163,1,10857.28
18,10010,106,3,55502.02
19,10011,210,1,1020.2
20,10012,102,2,74774.07
21,10012,110,1,2702.88
22,10013,157,1,9057.82
23,10013,127,1,34148.41
24,10013,108,1,29405.94
25,10014,165,1,9373.72
26,10014,126,3,15949.72
27,10015,179,1,1417.93
28,10015,164,3,9554.0
29,10015,183,2,1243.0
30,10015,153,1,831.4
31,10016,108,1,31135.7
32,10017,120,1,1203.35
33,10018,158,1,8755.31
34,10018,125,2,37638.62
35,10019,117,2,2708.21
36,10019,112,1,8869.46
37,10020,183,1,1243.0
38,10020,187,1,3463.9
39,10020,131,1,16892.6
40,10020,156,1,1231.36
41,10021,127,1,35945.7
42,10022,132,1,17563.36
43,10023,137,2,12349.49
44,10023,121,1,9117.47
45,10024,215,1,2819.94
46,10024,165,4,10476.51
47,10024,125,2,37638.62
48,10025,192,2,2008.36
49,10026,130,1,35263.03
50,10026,141,1,14950.35
51,10026,190,1,4326.19
52,10027,127,2,34148.41
53,10028,123,1,10617.49
54,10028,208,2,1947.38
55,10028,114,4,3777.95
56,10029,136,1,7396.68
57,10029,132,1,17563.36
58,10029,130,1,29973.58
59,10029,123,1,11242.04
60,10030,158,1,9241.71
61,10030,215,2,2976.61
62,10030,121,1,9653.79
63,10030,113,1,5680.63
64,10031,194,1,6457.01
65,10031,182,1,1810.76
66,10032,124,3,10080.04
67,10032,116,1,1204.55
68,10033,107,1,52550.35
69,10034,218,1,7080.0
70,10034,125,2,37638.62
71,10034,130,1,31736.73
72,10035,109,2,3436.63
73,10035,136,2,7785.98
74,10036,155,2,1481.95
75,10036,121,1,9653.79
76,10036,168,1,11354.7
77,10037,101,1,69338.9
78,10037,119,1,3767.44
79,10037,143,2,5167.76
80,10038,101,1,73417.66
81,10038,125,1,37638.62
82,10039,114,1,3380.27
83,10039,198,1,5507.55
84,10040,211,1,1545.11
85,10041,187,1,3646.21
86,10041,142,1,11566.44
87,10041,218,1,8329.41
88,10041,166,2,8906.32
89,10041,114,4,3181.43
90,10042,179,1,1417.93
91,10042,115,3,2817.19
92,10042,142,1,12209.02
93,10042,118,1,2157.07
94,10043,119,1,3172.58
95,10043,130,1,35263.03
96,10044,189,1,2394.32
97,10044,186,1,5326.69
98,10044,138,1,15338.04
99,10045,121,2,10190.11
100,10045,203,2,1043.64
101,10045,117,3,2850.75
102,10045,158,2,9728.12
103,10046,162,1,10389.18
104,10046,112,2,8869.46
105,10046,196,1,2638.98
106,10047,110,2,2418.37
107,10047,145,2,45391.09
108,10047,167,1,3801.49
109,10048,218,1,7912.94
110,10048,170,1,2201.22
111,10049,147,3,37236.31
112,10049,115,1,3314.34
113,10050,187,1,3463.9
114,10050,127,1,34148.41
115,10050,103,1,86981.38
116,10050,104,1,81889.5
117,10051,105,1,44259.22
118,10052,179,2,1417.93
119,10052,161,4,9315.28
120,10053,120,3,1069.65
121,10054,156,1,1046.66
122,10054,139,1,17263.53
123,10054,212,2,2154.9
124,10055,137,1,12349.49
125,10055,198,1,4637.94
126,10055,123,1,12491.16
127,10055,168,2,11952.32
128,10056,107,2,52550.35
129,10057,196,2,2777.87
130,10058,194,1,5811.31
131,10058,106,1,58766.85
132,10058,180,1,2104.89
133,10059,131,1,16892.6
134,10060,130,1,31736.73
135,10061,176,1,9134.02
136,10061,105,3,49176.91
137,10062,111,1,10914.12
138,10063,105,1,44259.22
139,10063,113,1,4828.54
140,10063,120,1,1203.35
141,10064,115,2,3314.34
142,10064,183,1,1243.0
143,10065,121,1,10726.43
144,10065,182,1,1906.06
145,10066,114,1,3579.11
146,10066,173,1,5615.7
147,10067,185,1,5807.2
148,10067,173,1,6668.64
149,10067,126,1,17826.16
150,10067,172,1,1005.88
151,10067,208,1,1752.64
152,10068,129,1,36778.33
153,10069,152,1,2689.5
154,10070,121,1,10726.43
155,10071,103,1,86981.38
156,10072,117,1,2850.75
157,10073,194,2,6457.01
158,10074,122,1,11330.86
159,10074,105,1,49176.91
160,10074,219,1,3083.6
161,10074,185,2,6112.84
162,10075,104,1,81889.5
163,10075,132,1,16685.19
164,10075,158,1,9728.12
165,10076,140,1,7414.35
166,10076,111,1,10368.41
167,10077,101,1,81575.18
168,10078,119,1,3767.44
169,10078,156,2,1108.22
170,10078,128,2,32451.24
171,10079,115,1,3314.34
172,10079,170,1,2201.22
173,10079,206,1,2853.1
174,10080,111,2,10914.12
175,10080,102,1,74774.07
176,10081,164,2,7643.2
177,10081,126,1,16887.94
178,10082,164,1,8598.6
179,10082,163,4,13571.6
180,10082,115,1,3314.34
181,10082,142,2,12851.6
182,10083,122,1,10701.36
183,10083,131,1,15954.13
184,10084,109,4,3092.97
185,10084,112,1,7982.51
186,10085,121,1,9653.79
187,10086,120,1,1337.06
188,10087,101,3,81575.18
189,10087,120,1,1270.21
190,10088,178,2,844.41
191,10088,113,2,5680.63
192,10089,152,2,2689.5
193,10090,106,1,58766.85
194,10091,102,1,74774.07
195,10092,179,1,1276.14
196,10092,154,4,1465.07
197,10093,120,1,1337.06
198,10093,172,3,1194.48
199,10093,183,1,1243.0
200,10094,129,2,33100.5
201,10094,107,2,52550.35
202,10095,101,1,73417.66
203,10095,121,1,10726.43
204,10096,135,3,17347.79
205,10097,113,1,5112.57
206,10098,109,1,3436.63
207,10099,124,1,10640.05
208,10100,109,1,3092.97
209,10100,125,1,33874.76
210,10100,200,3,5414.7
211,10100,186,1,5607.04
212,10101,151,1,1468.1
213,10101,159,1,7695.17
214,10102,119,1,3767.44
215,10103,120,1,1337.06
216,10103,194,1,5165.61
217,10103,171,1,3568.28
218,10104,178,1,938.23
219,10105,129,1,34939.41
220,10106,180,2,2338.77
221,10106,177,1,1313.32
222,10106,107,2,49922.83
223,10107,217,1,2203.01
224,10107,154,2,1723.61
225,10107,172,1,1257.35
226,10108,210,1,969.19
227,10109,191,1,4864.92
228,10109,138,1,14571.14
229,10109,192,1,2259.4
230,10109,127,1,35945.7
231,10110,113,1,5396.6
232,10110,157,1,10756.16
233,10111,220,1,8039.33
234,10111,182,3,1906.06
235,10111,147,1,41373.68
236,10112,127,2,34148.41
237,10112,105,1,49176.91
238,10113,131,1,17831.08
239,10114,162,2,10389.18
240,10114,120,1,1270.21
241,10114,141,1,15737.21
242,10115,159,1,6925.65
243,10115,197,1,3819.28
244,10116,126,1,17826.16
245,10116,183,1,1118.7
246,10117,181,2,1603.01
247,10118,157,1,10190.04
248,10119,142,1,12209.02
249,10119,169,1,2411.5
250,10120,170,2,2445.8
251,10120,201,2,956.2
252,10120,123,1,12491.16
253,10121,220,1,8485.96
254,10122,114,1,3579.11
255,10122,133,1,21688.11
256,10122,154,1,1723.61
257,10123,187,1,3463.9
258,10123,132,2,17563.36
259,10123,124,1,10640.05
260,10123,122,1,11330.86
261,10124,135,2,20409.16
262,10124,120,2,1337.06
263,10125,169,1,3014.38
264,10125,107,1,49922.83
265,10125,181,1,1603.01
266,10126,160,1,4212.93
267,10126,173,2,7019.62
268,10127,169,1,3014.38
269,10128,159,3,7310.41
270,10129,122,1,12589.84
271,10129,117,1,2850.75
272,10130,168,2,10159.47
273,10131,104,1,73700.55
274,10131,171,2,3211.45
275,10132,170,1,2078.93
276,10132,165,1,11027.91
277,10132,118,2,2537.73
278,10132,198,2,5797.42
279,10133,164,1,8598.6
280,10133,161,1,9315.28
281,10133,125,1,35756.69
282,10134,110,1,2418.37
283,10135,214,1,2379.88
284,10136,106,2,65296.5
285,10136,153,2,831.4
286,10137,112,2,8869.46
287,10138,144,2,13675.5
288,10138,103,1,73934.17
289,10138,131,1,15954.13
290,10139,167,1,3611.42
291,10139,179,1,1347.03
292,10139,144,1,15195.0
293,10140,109,1,2921.14
294,10141,171,1,3568.28
295,10142,110,1,2702.88
296,10143,132,2,17563.36
297,10144,159,1,6156.14
298,10145,132,1,17563.36
299,10145,129,3,34939.41
300,10146,148,1,28821.79
301,10147,159,1,7310.41
302,10147,151,1,1468.1
